Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
12-05-2019,17-06-2019,"Act done by a person bound, or by mistake of fact believing himself bound, by law",Ghandikota Sri Devi,Telangana,Section 76,5,36,11,
31-07-2017,20-07-2018,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,Manoj Kumar Tiwari,Uttarakhand,Section 195,3,354,5,
10-08-2018,20-10-2019,Fraudulently or dishonestly diminishing weight or altering composition of coin,Mohan Lal,Jammu & Kashmir and Ladakh,Section 246,5,436,17,
22-01-2019,21-05-2020,Issuing or signing false certificate,Kesang Doma Bhutia,Calcutta,Section 197,4,485,10,
14-02-2017,12-01-2018,Culpable homicide,Prakash Shrivastava (CJ),Calcutta,Section 299,5,332,2,
11-09-2018,20-10-2018,Destruction of document or electronic record to prevent its production as sevidence,Vishal Mishra,Madhya Pradesh,Section 204,5,39,7,
11-09-2018,02-12-2019,Wrongful restraint,Nitin Madhukar Jamdar,Bombay,Section 339,1,447,11,
29-10-2017,27-12-2017,Keeping lottery office,Biraja Prasanna Satapathy,Orissa,Section 294A,5,59,3,
02-09-2018,09-01-2020,Using as true such declaration knowing it to be false,Shriram Kalpathi Rajendran,Bombay,Section 200,2,494,10,
28-07-2019,27-05-2020,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation,Ambuj Nath,Jharkhand,Section 181,4,304,14,
26-04-2018,06-07-2018,Attempt to Acid Attack,Parthivjyoti Saikia,Gauhati,Section 326B,1,71,3,
09-03-2020,06-05-2020,Cheating by personation,P. T. Asha,Madras,Section 416,1,58,13,
18-09-2017,19-04-2018,Punishment for same offence when committed by person entrusted with custody,Kandasamy Kalyanasundaram,Madras,Section 462,1,213,5,
18-01-2017,23-09-2017,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India",Ravi Shanker Jha (CJ),Punjab and Haryana,Section 121,2,248,3,
26-10-2017,07-11-2018,"Sale, etc, of obscene objects to young person",Uma Shanker Vyas,Rajasthan,Section 293,4,377,8,
02-02-2018,04-04-2018,Punishment for same offence when committed by person entrusted with custody,Wanlura Diengdoh,Meghalaya,Section 462,3,61,2,
11-01-2017,27-09-2017,Act done in good faith for benefit of a person without consent,Rajesh Singh Chauhan,Allahabad,Section 92,5,259,4,
04-03-2018,26-05-2018,Repealed,Ponugoti Naveen Rao,Telangana,Section 161-165A,1,83,5,
16-06-2018,30-05-2019,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,Naveen Srivastava,Allahabad,Section 113,4,348,3,
09-02-2017,24-04-2017,Obstructing sale of property offered for sale by authority of public servant,Anjani Kumar Mishra,Allahabad,Section 184,4,74,1,
21-01-2020,05-03-2020,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person",Sanjay Kumar Pachori,Allahabad,Section 368,4,44,11,
22-01-2017,28-04-2018,Punishment for criminal trespass,Satya Gopal Chattopadhyay,Tripura,Section 447,1,461,1,
03-12-2018,23-08-2019,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person",Ananta Manohar Badar,Patna,Section 368,5,263,14,
06-03-2018,14-05-2019,House trespass,Kalyan Rai Surana,Gauhati,Section 442,3,434,13,
17-04-2019,17-03-2020,Making a false mark upon any receptacle containing goods,Rohit Arya,Madhya Pradesh,Section 487,2,335,13,
07-03-2017,24-03-2018,House-trespass in order to commit offence punishable with imprisonment,Mohd. Akram Chowdhary,Jammu & Kashmir and Ladakh,Section 451,5,382,3,
21-11-2018,03-01-2019,Concealing with intent to facilitate design to wage war,Arvind Srivastava,Patna,Section 123,2,43,7,
17-05-2018,22-08-2018,Culpable homicide,Nisha Mahendrabhai Thakore,Gujarat,Section 299,2,97,1,
17-02-2018,03-11-2018,Committing depredation on territories of Power at peace with the Government of India,Rohit Ranjan Agarwal,Allahabad,Section 126,2,259,5,
19-11-2019,22-02-2021,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,Hanchate Sanjeev Kumar,Karnataka,Section 218,5,461,18,
16-07-2018,17-10-2018,Printing or engraving matter known to be defamatory,Prashant Kumar Mishra (CJ),Andhra Pradesh,Section 501,1,93,3,
15-08-2018,22-07-2019,Refusing oath or affirmation when duly required by public servant to make it,Karunesh Singh Pawar,Allahabad,Section 178,4,341,14,
10-03-2017,20-07-2017,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc",Ilangovan Ganesan,Madras,Section 388,4,132,1,
30-01-2017,13-03-2017,Solitary confinement,Biswanath Somadder (CJ),Sikkim,Section 73,5,42,1,
08-08-2019,25-01-2020,Causing death by negligence,Karunakaran Nair Haripal,Kerala,Section 304A,4,170,14,
02-06-2018,12-01-2019,Intercourse by a man with his wife during separation,Nitin Madhukar Jamdar,Bombay,Section 376A,1,224,4,
19-05-2018,16-05-2019,Assault or criminal force to deter public servant from discharge of his duty,Anil Kshetarpar,Punjab and Haryana,Section 353,2,362,14,
27-04-2019,10-11-2019,Things done in private defence,Yogesh Khanna,Delhi,Section 96,2,197,14,
08-05-2018,15-03-2019,Possession of forged or counterfeit currency-notes or bank-notes,Biraja Prasanna Satapathy,Orissa,Section 489C,5,311,11,
19-05-2019,20-12-2019,Criminal breach of trust,Vivek Kumar Birla,Allahabad,Section 405,4,215,11,
09-03-2019,01-11-2019,"Selling minor for purposes of prostitution, etc",Navin Chawla,Delhi,Section 372,5,237,12,
12-05-2019,17-08-2020,"Candidate, Electoral right defined",Anil Kumar Ojha,Allahabad,Section 171A,5,463,13,
08-04-2020,28-04-2021,Punishment for criminal breach of trust,Sandeep Natvarlal Bhatt,Gujarat,Section 406,1,385,15,
18-03-2018,14-05-2018,Intentional insult or interruption to public servant sitting in judicial proceeding,Dhirubhai Naranbhai Patel (CJ),Delhi,Section 228,5,57,1,
12-06-2017,04-10-2018,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,Ram Krishna Gautam,Allahabad,Section 222,1,479,6,
15-05-2019,04-06-2020,"Candidate, Electoral right defined",Augustine George Masih,Punjab and Haryana,Section 171A,3,386,16,
12-06-2017,10-05-2018,Abetment of suicide of child or insane person,Saugata Bhattacharyya,Calcutta,Section 305,1,332,5,
11-01-2017,13-12-2017,Liability of person for whose benefit riot is committed,Amol Rattan Singh,Punjab and Haryana,Section 155,1,336,1,
12-03-2019,24-03-2020,Voluntarily causing grievous hurt,Anil Kumar Sinha,Patna,Section 322,5,378,13,
26-04-2019,24-06-2020,Making or using documents resembling currency-notes or bank-notes,Kannammal Shanmuga Sundaram,Madras,Section 489E,1,425,15,
13-04-2018,30-08-2018,Repealed,Jaishree Thakur,Punjab and Haryana,Section 161-165A,5,139,4,
09-12-2019,12-02-2021,"Hiring, or conniving at hiring, of persons to join unlawful assembly",Achintya Malla Bujor Barua,Gauhati,Section 150,2,431,14,
05-03-2019,27-03-2019,Punishment for theft,Dinesh Kumar Paliwal,Madhya Pradesh,Section 379,3,22,4,
07-02-2020,06-05-2020,False charge of offence made with intent to injure,Sreenivas Harish Kumar,Karnataka,Section 211,5,89,14,
15-04-2018,05-03-2019,Abetting commission of offence by the public or by more than ten persons,Sanjaya Kumar Mishra (ACJ),Uttarakhand,Section 117,1,324,5,
26-05-2018,18-10-2018,Kidnapping or abducting in order to murder,Subhash Vidyarthi,Allahabad,Section 364,5,145,6,
23-06-2017,05-10-2018,Being in possession of false weight or measure,Sant Parkash,Punjab and Haryana,Section 266,4,469,4,
26-07-2019,28-11-2020,Grievous hurt caused whilst committing lurking house trespass or house-breaking,Pritinker Diwaker,Allahabad,Section 459,1,491,18,
10-09-2019,25-12-2019,"Kidnapping for ransom, etc",N. Sathish Kumar,Madras,Section 364A,3,106,11,
05-04-2019,08-06-2020,Defamation,Ahanthem Bimol Singh,Manipur,Section 499,1,430,12,
01-06-2019,15-06-2020,Sale of printed or engraved substance containing defamatory matter,Shankar Ganapathi Pandit,Karnataka,Section 502,5,380,15,
28-10-2018,29-02-2020,"Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint",Vipul Manubhai Pancholi,Gujarat,Section 455,4,489,10,
07-09-2019,11-06-2020,Attempt to commit robbery or dacoity when armed with deadly weapon,Bibhu Prasad Routray,Orissa,Section 398,1,278,9,
14-07-2017,22-01-2018,"False information, with intent to cause public servant to use his lawful power to the injury of another person",Vikram D Chauhan,Allahabad,Section 182,5,192,1,
12-10-2018,17-12-2018,Intentional insult with intent to provoke breach of the peace,Manish Choudhury,Gauhati,Section 504,1,66,7,
10-10-2017,06-12-2017,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,Vikas Suri,Punjab and Haryana,Section 423,3,57,3,
21-05-2018,01-09-2018,Rape,Bhotanhosur Mallikarjuna Shyam Prasad,Karnataka,Section 375,3,103,3,
29-05-2018,19-07-2018,House-trespass in order to commit offence punishable with death,Dr. Shiva Nand Pathak,Jharkhand,Section 449,2,51,3,
11-01-2018,24-10-2018,Limit of punishment of offence made up of several offences,Ilesh Jashvantrai Vora,Gujarat,Section 71,4,286,7,
05-09-2019,21-04-2020,Punishment for making use of any such false mark,Madan Gopal Vyas,Rajasthan,Section 488,4,229,17,
17-04-2019,25-11-2019,"Mischief by injury to public road, bridge, river or channel",Atul Sharachchandra Chandurkar,Bombay,Section 431,3,222,16,
09-03-2018,22-11-2018,Using as true such declaration knowing it to be false,Deepak Roshan,Jharkhand,Section 200,1,258,7,
13-10-2018,13-12-2018,Possession of coin by person who knew it to be altered when he became possessed thereof,Madan Gopal Vyas,Rajasthan,Section 252,5,61,6,
12-05-2018,12-08-2019,Voluntarily causing grievous hurt to deter public servant from his duty,Sundaram Srimathy,Madras,Section 333,5,457,10,
22-03-2018,22-02-2019,"Public servant disobeying law, with intent to cause injury to any person",Songkhupchung Serto,Gauhati,Section 166,3,337,6,
09-03-2017,04-05-2018,Punishment for wrongful Confinement,Dipankar Datta (CJ),Bombay,Section 342,1,421,5,
13-07-2017,25-08-2017,Cheating,N. Nagaresh,Kerala,Section 415,4,43,1,
25-01-2020,27-05-2020,Assault or criminal force in attempt wrongfully to confine a person,Ananda Kumar Mukherjee,Calcutta,Section 357,1,123,17,
19-04-2017,08-03-2018,Wrongful confinement,Manoj Kumar Gupta,Allahabad,Section 340,4,323,6,
08-02-2017,04-02-2018,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse",Guhanathan Narendar,Karnataka,Section 145,3,361,3,
07-11-2019,23-03-2020,Illegal payments in connection with an election,Tashi Rabstan,Jammu & Kashmir and Ladakh,Section 171H,5,137,16,
13-01-2018,06-06-2018,Disobedience to quarantine rule,Alpesh Yeshwant Kogje,Gujarat,Section 271,3,144,3,
16-03-2018,22-05-2019,Punishment for rape,Rajarshi Bharadwaj,Calcutta,Section 376,5,432,5,
30-12-2019,08-03-2021,Wrongful confinement,Manash Ranjan Pathak,Gauhati,Section 340,2,434,15,
06-11-2019,08-12-2019,Negligent conduct with respect to explosive substance,Govinda Ananda Sanap,Bombay,Section 286,1,32,13,
29-08-2017,12-02-2018,Obstructing sale of property offered for sale by authority of public servant,Makarand Subhash Karnik,Bombay,Section 184,4,167,4,
09-12-2019,17-02-2020,Issuing or signing false certificate,Rohit Arya,Madhya Pradesh,Section 197,4,70,12,
24-10-2019,01-03-2021,Intentional insult with intent to provoke breach of the peace,Vaibhavi Devang Nanavati,Gujarat,Section 504,3,494,13,
23-01-2017,09-06-2017,Substitution of new sections 370 and 370A for section 370,Anup Jairam Bhambhani,Delhi,Section 370,2,137,1,
21-02-2018,07-11-2018,Voyevrism,Sanjay Ganpatrao Mehare,Bombay,Section 354 C,5,259,8,
16-05-2017,03-04-2018,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Sudhanshu Dhulia (CJ),Gauhati,Section 421,3,322,5,
17-12-2019,19-01-2021,"Act caused by inducing person to believe that he will be rendered an object of the Divine
displeasure",Amit Bansal,Delhi,Section 508,1,399,21,
18-04-2018,06-01-2019,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,Satyendra Kumar Singh,Madhya Pradesh,Section 242,1,263,11,
16-01-2017,08-09-2017,Act to which a person is compelled by threats,Karunesh Singh Pawar,Allahabad,Section 94,5,235,3,
26-11-2017,10-07-2018,When such right extends to causing any harm other than death,Amit Bhalchandra Borkar,Bombay,Section 101,5,226,5,
11-04-2019,06-04-2020,Making or possessing instruments or materials for forgoing or counterfeiting currency-notes or bank-notes,Abhinand Kumar Shavili,Telangana,Section 489D,4,361,7,
10-12-2019,18-02-2021,Non-appearance in response to a proclamation under section 82 of Act 2 of 1974,Shriram Kalpathi Rajendran,Bombay,Section 174A,5,436,14,
09-03-2018,18-06-2018,Negligent act likely to spread infection of disease dangerous to life,Anil Kolavampara Narendran,Kerala,Section 269,2,101,2,
24-06-2017,10-03-2018,Resistance to the taking of property by the lawful authority of a public servant,Jasjit Singh Bedi,Punjab and Haryana,Section 183,5,259,2,
30-01-2020,20-04-2021,Deserter concealed on board merchant vessel through negligence of master,Archana Puri,Punjab and Haryana,Section 137,2,446,16,
30-05-2018,21-01-2019,Cheating by personation,Avinash Gunwant Gharote,Bombay,Section 416,4,236,8,
22-01-2019,12-09-2019,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,Ramakrishna Devdas,Karnataka,Section 217,1,233,14,
25-03-2018,10-10-2018,Voluntarily causing hurt on provocation,Devendra Kumar Upadhyay,Allahabad,Section 334,5,199,9,
15-04-2017,10-01-2018,"Exhibition of false light, mark or buoy",Robin Phukan,Gauhati,Section 281,2,270,1,
09-07-2019,07-08-2019,"Making or possessing counterfeit seal, etc, with intent to commit forgery punishable under section 467",Sundaram Srimathy,Madras,Section 472,1,29,9,
18-05-2018,17-08-2019,Punishment of abetment if person abetted does act with different intention from that of abettor,Rajan Roy,Allahabad,Section 110,5,456,12,
10-12-2018,22-03-2020,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,Sandeep Natvarlal Bhatt,Gujarat,Section 247,4,468,11,
04-03-2020,11-03-2021,Fraudulently or dishonestly diminishing weight or altering composition of coin,Samit Gopal,Allahabad,Section 246,2,372,17,
22-10-2017,17-05-2018,Malignant act likely to spread infection of disease dangerous to life,Vivek Varma,Allahabad,Section 270,3,207,2,
05-02-2017,19-12-2017,Non-attendance in obedience to an order form public servant,Rekha Palli,Delhi,Section 174,5,317,1,
21-03-2017,14-04-2017,"Uttering, words, etc, with deliberate intent to wound the religious feelings of any person",Vipin Sanghi,Delhi,Section 298,5,24,2,
25-03-2020,26-04-2020,"Buying minor for purposes of prostitution, etc",Anil Kumar Upadhyay,Patna,Section 373,2,32,8,
19-10-2017,07-11-2018,Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof,Arun Dev Choudhury,Gauhati,Section 243,2,384,9,
25-07-2017,13-02-2018,Public servant farming an incorrect document with intent to cause injury,Deepak Roshan,Jharkhand,Section 167,3,203,2,
01-04-2019,28-08-2019,Rioting,R. Hemalatha,Madras,Section 146,3,149,10,
24-04-2017,17-09-2017,"Act done in good faith for benefit of child or insane person, by or by consent of guardian",Sheel Nagu,Madhya Pradesh,Section 89,2,146,1,
03-01-2019,13-01-2020,Cheating,Raja Vijayaraghavan Valsala,Kerala,Section 415,5,375,4,
27-10-2019,19-06-2020,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India",Murahari Sri Raman,Orissa,Section 121,4,236,11,
09-05-2018,04-08-2019,Voyevrism,Maninder Singh Bhatti,Madhya Pradesh,Section 354 C,1,452,9,
19-06-2017,15-08-2017,Voluntarily causing hurt in committing robbery,Atul Sharachchandra Chandurkar,Bombay,Section 394,4,57,2,
04-10-2019,09-11-2020,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,Ninala Jayasurya,Andhra Pradesh,Section 113,2,402,15,
05-07-2017,08-07-2018,Making a false document,Manthoj Ganga Rao,Andhra Pradesh,Section 464,5,368,6,
08-02-2020,11-10-2020,Punishment for defamation,Shree Prakash Singh,Allahabad,Section 500,4,246,15,
05-05-2019,29-07-2020,Selling goods marked with a counterfeit property mark,Wanlura Diengdoh,Meghalaya,Section 486,5,451,14,
09-02-2020,09-01-2021,Voluntarily causing grievous hurt to deter public servant from his duty,Sugato Majumdar,Calcutta,Section 333,2,335,14,
